
@contest "43rd Petrozavodsk Programming Camp (2022 Summer) Day 7. HSE Koresha Contest"
@contlen 300
@problems 11
@teams 38
@submissions 422
@p A,Easy Problem,20,0
@p B,Standard Problem,20,0
@p C,Network Transfer,20,0
@p D,Hard Problem,20,0
@p E,String Strange Sum,20,0
@p F,Bayan Testing,20,0
@p G,Battleship: New Rules,20,0
@p H,Triangular Cactus Paths,20,0
@p I,Best Sun,20,0
@p J,Fast Bridges,20,0
@p K,Decoding The Message,20,0
@t 1,0,1,"* Almost Past Glory: Danilyuk, Korotkevich, Minaiev"
@t 2,0,1,"Zhejiang U: Solitary Dream: Chen, Chu, Peng"
@t 3,0,1,"Harbour.Space University: Backspace: Dubovik, Sardarbekov, Zolotarev"
@t 4,0,1,"SPb SU: Block of cats: Danilevich, Turevskii, Ushakov"
@t 5,0,1,"Moscow IPT: Skyfall: Belyi, Peregudov, Surkov"
@t 6,0,1,"Zhejiang U: Phantom Threshold: Li, Li, Tang"
@t 7,0,1,"Saratov SU 1: Meshcheryakov, Petrov, Piklyaev"
@t 8,0,1,"HSE: CANCELLED TP: Evteev, Markelov, Pustovalov"
@t 9,0,1,"SJTU: willow: Jiang, Wang, Ye"
@t 10,0,1,"SPb HSE: Lemon Tree: Alferov, Makhnev, Surkov"
@t 11,0,1,"HSE: Dirizhabl': Akulov, Arzhantsev, Pogodin"
@t 12,0,1,"Zhejiang U: jiangly_fan: Hu, Lin, Ling"
@t 13,0,1,"Saratov SU 2: Brovko, Lankin, Shnirelman"
@t 14,0,1,"KhNURE: KB: Denysov, Grinenko"
@t 15,0,1,"ITMO University: Insert your name: Budin, Korobkov, Naumov"
@t 16,0,1,"ITMO University: Unexpected value: Erov, Kuzin, Stepanov"
@t 17,0,1,"NNSU: Lera Almost Retired: Emelin, Khlyustov, Ryabchikova"
@t 18,0,1,"ITMO University: pengzoo: Golikov, Iakovlev, Perveev"
@t 19,0,1,"Kazakh-British TU 1: Altybay, Kanatuly, Tursynbay"
@t 20,0,1,"Belarusian SU 1: Dzenhaliou, Klimasheuski, Paliukhovich"
@t 21,0,1,"IITU 1: Botakanov, Kapitov, Shormankhan"
@t 22,0,1,"Harbor Space U 2: Durán Medina, Velasco Sotomayor, Yusta Gómez"
@t 23,0,1,* Moscow IPT/HSE/SU: Smirnov
@t 24,0,1,Moscow IPT: Lonely Coala: Tretyakov
@t 25,0,1,"Ural FU: CheezeKEK: Chizhov, Reshke"
@t 26,0,1,"Petrozavodsk SU 1: Koshkarev, Krishtal, Masaeva"
@t 27,0,1,MAI #1: Plyushkin
@t 28,0,1,"MAI #2: Belousov, Inyutin, Smirnov"
@t 29,0,1,"Voronezh SU: Tatakae: Berezhnov, Novotochinov"
@t 30,0,1,"Baltic FU: Num4:: Alekseev, Chernozhukov"
@t 31,0,1,"Chelyabinsk PhML 31: Gerasikov, Kostylev, Zibnickij"
@t 32,0,1,Dhaka University: NotStrongEnough: Rahman
@t 33,0,1,"HSE: KresloStul: Arzhantsev, Daniel, Savinsky"
@t 34,0,1,"MISiS: Eva fan club: Bikmetov, Panin, Shabaev"
@t 35,0,1,"NNSU: Presskachat: Burdukov, Kulandin, Suharev"
@t 36,0,1,"ADA U: HE: Hajiyev, Inochkin"
@t 37,0,1,"Belarusian SU 3: Kharasau, Kostianoy"
@t 38,0,1,"SUST: BerlekampMassey: Hosen, Shohag, Tajwar Saikat"
@s 1,K,1,10260,OK
@s 25,H,2,10260,OK
@s 22,H,9,10336,RJ
@s 35,H,5,10363,RJ
@s 18,C,1,10440,OK
@s 33,H,4,10495,RJ
@s 25,C,3,10508,RJ
@s 22,H,10,10560,OK
@s 21,F,2,10600,RJ
@s 3,K,3,10682,RJ
@s 16,B,3,10752,RJ
@s 3,G,4,10792,RJ
@s 16,B,4,10833,RJ
@s 36,F,9,10850,RJ
@s 10,A,2,10878,RJ
@s 31,F,1,10884,RJ
@s 33,H,5,10886,RJ
@s 21,F,3,10920,OK
@s 3,K,4,11040,RJ
@s 11,B,1,11160,OK
@s 32,F,2,11224,RJ
@s 8,J,2,11258,RJ
@s 36,F,10,11286,RJ
@s 10,K,6,11298,RJ
@s 16,C,3,11423,RJ
@s 18,K,5,11433,RJ
@s 31,H,2,11439,RJ
@s 4,G,2,11465,RJ
@s 14,C,1,11520,OK
@s 32,F,3,11520,OK
@s 36,F,11,11531,RJ
@s 16,B,5,11580,OK
@s 19,B,3,11608,RJ
@s 10,H,1,11625,RJ
@s 8,J,3,11635,RJ
@s 10,K,7,11664,RJ
@s 4,G,3,11691,RJ
@s 15,F,2,11700,OK
@s 10,H,2,11880,OK
@s 19,C,2,11913,RJ
@s 27,H,2,11950,RJ
@s 1,I,2,12058,RJ
@s 10,A,3,12100,RJ
@s 19,C,3,12102,RJ
@s 9,C,2,12120,OK
@s 31,F,2,12120,OK
@s 20,C,1,12138,RJ
@s 19,C,4,12223,RJ
@s 33,H,6,12423,RJ
@s 36,F,12,12447,RJ
@s 21,C,1,12531,RJ
@s 14,B,1,12540,OK
@s 18,I,2,12633,RJ
@s 3,G,5,12651,RJ
@s 10,K,8,12680,RJ
@s 29,B,1,12704,RJ
@s 16,C,4,12705,RJ
@s 3,G,6,12774,RJ
@s 19,B,4,12780,OK
@s 15,H,3,12812,RJ
@s 36,F,13,12823,RJ
@s 10,K,9,12873,RJ
@s 20,C,2,12909,RJ
@s 16,C,5,12960,OK
@s 18,K,6,12966,RJ
@s 25,C,4,12986,RJ
@s 15,H,4,13062,RJ
@s 10,K,10,13124,RJ
@s 17,B,1,13126,RJ
@s 18,I,3,13137,RJ
@s 22,C,1,13152,RJ
@s 4,G,4,13214,RJ
@s 18,I,4,13260,RJ
@s 31,H,3,13320,RJ
@s 33,H,7,13320,RJ
@s 29,B,2,13368,RJ
@s 10,A,4,13404,RJ
@s 25,B,2,13441,RJ
@s 22,C,2,13447,RJ
@s 8,J,4,13482,RJ
@s 36,F,14,13596,RJ
@s 36,F,15,13674,RJ
@s 10,K,11,13692,RJ
@s 18,K,7,13745,RJ
@s 36,F,16,13793,RJ
@s 35,H,6,13798,RJ
@s 36,F,17,13811,RJ
@s 10,K,12,13849,RJ
@s 3,K,5,13892,RJ
@s 3,G,7,13899,RJ
@s 36,F,18,13923,RJ
@s 33,H,8,13968,RJ
@s 27,H,3,14100,OK
@s 20,C,3,14187,RJ
@s 1,I,3,14238,RJ
@s 3,K,6,14251,RJ
@s 22,C,3,14286,RJ
@s 5,A,1,14340,RJ
@s 1,I,4,14354,RJ
@s 36,F,19,14423,RJ
@s 28,C,2,14460,OK
@s 37,H,2,14492,RJ
@s 8,J,5,14522,RJ
@s 36,F,20,14538,RJ
@s 36,F,21,14556,RJ
@s 16,G,2,14580,RJ
@s 29,B,3,14616,RJ
@s 36,F,22,14640,RJ
@s 37,H,3,14640,RJ
@s 19,C,5,14699,RJ
@s 12,E,1,14700,RJ
@s 21,C,2,14734,RJ
@s 4,G,5,14756,RJ
@s 25,C,5,14785,RJ
@s 31,B,1,14792,RJ
@s 19,C,6,14835,RJ
@s 10,K,13,14844,RJ
@s 20,C,4,14880,OK
@s 4,G,6,14917,RJ
@s 3,G,8,14934,RJ
@s 2,K,3,14940,OK
@s 10,K,14,15008,RJ
@s 35,H,7,15090,RJ
@s 35,H,8,15174,RJ
@s 26,B,1,15195,RJ
@s 4,G,7,15232,RJ
@s 35,H,9,15240,OK
@s 10,K,15,15288,RJ
@s 10,K,16,15293,RJ
@s 26,H,2,15360,OK
@s 8,J,6,15450,RJ
@s 22,C,4,15491,RJ
@s 19,C,7,15498,RJ
@s 8,J,7,15585,RJ
@s 21,C,3,15660,OK
@s 15,H,5,15720,OK
@s 9,I,2,15768,RJ
@s 3,K,7,15791,RJ
@s 19,C,8,15793,RJ
@s 25,C,6,15872,RJ
@s 22,C,5,15900,OK
@s 17,B,2,15968,RJ
@s 17,B,3,16050,RJ
@s 29,B,4,16074,RJ
@s 10,K,17,16154,RJ
@s 6,G,2,16230,RJ
@s 25,C,7,16311,RJ
@s 10,K,18,16320,RJ
@s 10,A,5,16399,RJ
@s 8,J,8,16525,RJ
@s 3,K,8,16596,RJ
@s 10,K,19,16638,RJ
@s 3,G,9,16658,RJ
@s 25,C,8,16675,RJ
@s 6,G,3,16698,RJ
@s 1,I,5,16842,RJ
@s 6,G,4,16945,RJ
@s 3,G,10,16980,RJ
@s 3,K,9,17209,RJ
@s 3,K,10,17227,RJ
@s 25,B,3,17280,RJ
@s 3,K,11,17340,OK
@s 9,I,3,17340,RJ
@s 26,B,2,17340,RJ
